Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
A1BG,Tissue enriched,Detected in single,1513,liver: 1194.2,
A1CF,Tissue enriched,Detected in some,6,liver: 148.5,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes"
A2M,Tissue enhanced,Detected in all,,liver: 1212.9;lung: 1626.5,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Macrophages, Kidney - Fibroblasts, Liver - Hepatocytes, Lung - Fibroblast_1, Prostate - Fibroblasts, Skeletal muscle - Endothelial cells, Thyroid - Endothelial cells"
A2ML1,Tissue enhanced,Detected in some,,esophagus: 540.7;vagina: 198.6,Testis - Sertoli cells
A4GNT,Tissue enriched,Detected in some,7,stomach 1: 23.0,
AADAC,Tissue enhanced,Detected in many,,adrenal gland: 217.8;intestine: 235.1;liver: 917.3,"Adipose visceral - Mesothelial cells, Lung - Alveolar cells type 2, Stomach - Gastric mucous cells"
AADACL2,Tissue enriched,Detected in some,19,skin 1: 34.5,"Adipose visceral - Mesothelial cells, Colon - Fibroblasts, Skin - Keratinocyte (other)"
AADACL3,Tissue enhanced,Detected in some,,placenta: 1.6;skin 1: 1.2,"Breast - Adipocytes (Breast), Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
AADACL4,Tissue enhanced,Detected in single,,choroid plexus: 1.8,Skin - Sebaceous gland cells
AADAT,Tissue enhanced,Detected in many,,liver: 65.0,Liver - Hepatocytes
AAK1,Tissue enhanced,Detected in all,,parathyroid gland: 86.0,Thyroid - Thyroid glandular cells
AAMDC,Tissue enhanced,Detected in all,,skeletal muscle: 640.1,"Heart muscle - Cardiomyocytes, Lung - Fibroblast_1, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes, Skin - Keratinocyte (other)"
AANAT,Tissue enhanced,Detected in some,,retina: 10.6;testis: 4.5,"Testis - Early spermatids, Testis - Late spermatids"
AARD,Tissue enhanced,Detected in many,,testis: 21.9;urinary bladder: 7.4,"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Eccrine sweat gland cells, Testis - Sertoli cells"
